stock_id,stock_name,stock_code
54299,友邦保險,01299
72681,俊知集團,01300
124583,德基科技控股,01301
96020,先健科技,01302
70370,滙力資源,01303
114098,偉志控股,01305
52746,海豐國際,01308
120151,香港寬頻,01310
70416,華控康泰,01312
38345,華潤建材科技,01313
80881,翠華控股,01314
70418,綠色經濟,01315
90110,耐世特,01316
114899,楓葉教育,01317
84175,靄華押業信貸,01319
104067,中國新城市,01321
57783,華盛國際控股,01323
117555,傳遞娛樂,01326
117420,勵時集團,01327
34288,金涌投資,01328
73199,首創鉅大,01329
107708,綠色動力環保,01330
76412,透雲生物,01332
76501,順泰控股,01335
69598,新華保險,01336
34552,霸王集團,01338
80970,中國人民保險集團,01339
101611,惠生國際,01340
134431,昊天國際建投,01341
1000026945,偉源控股,01343
95692,上海先鋒控股,01345
1000013608,利華控股集團,01346
112822,華虹半導體,01347
82802,滉達富控股,01348
98312,復旦張江,01349
1000062360,輝煌明天,01351
92445,朸濬國際,01355
148851,美圖公司,01357
95808,普華和順,01358
97518,中國信達,01359
95899,諾發集團,01360
34919,３６１度,01361
117549,新龍移動,01362
23896,特步國際,01368
96602,奧威控股,01370
95262,中國生態旅遊,01371
96764,中國碳中和,01372
94086,國際家居零售,01373
107800,中州證券,01375
1000034611,RAFFLESINTERIOR,01376
58953,中國宏橋,01378
1000013221,温嶺工量刃具,01379
60232,中國金石,01380
116592,粵豐環保,01381
15421,互太紡織,01382
14425,LET GROUP,01383
99269,上海復旦,01385
26707,中國地利,01387
13304,安莉芳控股,01388
133077,美捷滙控股,01389
17838,恒鼎實業,01393
111927,強泰環保,01395
95197,粵港灣控股,01396
106092,碧瑤綠色集團,01397
12593,工商銀行,01398
13413,銳信控股,01399
104907,滿地科技股份,01400
1000013222,SPROCOMM INTEL,01401
1000018448,超智能控股,01402
1000176932,達勢股份,01405
1000137808,清晰醫療,01406
